file name: train_TTSA_for_MSDA
PTL.version = 7.2.0
torch.version = 1.7.0+cu110
torchvision.version = 0.8.1+cu110
arch = resnet101
gpu_id = 0
dset = DomainNet
root = /data1/TL/data/list/domainnet
sources = None
target = c
output_dir = log/TTSA_for_MSDA/domainnet
center_crop = True
workers = 4
epochs = 30
iters_per_epoch = 2000
print_freq = 100
batch_size = 32
lr = 0.01
decay_rate = 0.75
momentum = 0.9
weight_decay = 0.001
seed = 2
alpha = 0.1
lambda0 = 0.25
eta = 0.5
gamma = 0.001
beta = 0.1
start_test_epoch = 0
SaveModel = False
Epoch: [00][0/2000]	total_loss:6.713	aug_loss:6.598	 pro_loss:131.668  MI_loss:0.160
Epoch: [00][100/2000]	total_loss:5.645	aug_loss:5.571	 pro_loss:130.020  MI_loss:0.558
Epoch: [00][200/2000]	total_loss:3.800	aug_loss:3.750	 pro_loss:145.463  MI_loss:0.948
Epoch: [00][300/2000]	total_loss:3.535	aug_loss:3.457	 pro_loss:179.369  MI_loss:1.020
Epoch: [00][400/2000]	total_loss:3.379	aug_loss:3.379	 pro_loss:166.234  MI_loss:1.669
Epoch: [00][500/2000]	total_loss:3.465	aug_loss:3.417	 pro_loss:179.397  MI_loss:1.311
Epoch: [00][600/2000]	total_loss:3.589	aug_loss:3.608	 pro_loss:170.425  MI_loss:1.890
Epoch: [00][700/2000]	total_loss:2.781	aug_loss:2.771	 pro_loss:196.570  MI_loss:1.874
Epoch: [00][800/2000]	total_loss:3.524	aug_loss:3.516	 pro_loss:188.270  MI_loss:1.805
Epoch: [00][900/2000]	total_loss:3.281	aug_loss:3.276	 pro_loss:203.848  MI_loss:1.984
Epoch: [00][1000/2000]	total_loss:2.488	aug_loss:2.488	 pro_loss:193.911  MI_loss:1.937
Epoch: [00][1100/2000]	total_loss:3.282	aug_loss:3.280	 pro_loss:200.114  MI_loss:1.982
Epoch: [00][1200/2000]	total_loss:2.614	aug_loss:2.618	 pro_loss:206.954  MI_loss:2.105
Epoch: [00][1300/2000]	total_loss:2.707	aug_loss:2.743	 pro_loss:189.946  MI_loss:2.265
Epoch: [00][1400/2000]	total_loss:2.798	aug_loss:2.850	 pro_loss:191.396  MI_loss:2.437
Epoch: [00][1500/2000]	total_loss:2.767	aug_loss:2.772	 pro_loss:207.678  MI_loss:2.127
Epoch: [00][1600/2000]	total_loss:2.267	aug_loss:2.326	 pro_loss:198.014  MI_loss:2.574
Epoch: [00][1700/2000]	total_loss:2.407	aug_loss:2.436	 pro_loss:202.832  MI_loss:2.319
Epoch: [00][1800/2000]	total_loss:2.581	aug_loss:2.604	 pro_loss:198.701  MI_loss:2.215
Epoch: [00][1900/2000]	total_loss:2.847	aug_loss:2.906	 pro_loss:199.823  MI_loss:2.591
epoch = 00,  best_acc1 = 51.952, best_acc1 = 51.952
Epoch: [01][0/2000]	total_loss:3.001	aug_loss:3.042	 pro_loss:208.435  MI_loss:2.495
Epoch: [01][100/2000]	total_loss:1.812	aug_loss:1.847	 pro_loss:210.100  MI_loss:2.452
Epoch: [01][200/2000]	total_loss:2.823	aug_loss:2.868	 pro_loss:203.565  MI_loss:2.491
Epoch: [01][300/2000]	total_loss:2.495	aug_loss:2.538	 pro_loss:210.191  MI_loss:2.538
Epoch: [01][400/2000]	total_loss:1.664	aug_loss:1.729	 pro_loss:205.641  MI_loss:2.710
Epoch: [01][500/2000]	total_loss:2.238	aug_loss:2.255	 pro_loss:209.220  MI_loss:2.256
Epoch: [01][600/2000]	total_loss:2.495	aug_loss:2.531	 pro_loss:219.264  MI_loss:2.547
Epoch: [01][700/2000]	total_loss:2.005	aug_loss:2.056	 pro_loss:207.730  MI_loss:2.595
Epoch: [01][800/2000]	total_loss:2.338	aug_loss:2.405	 pro_loss:199.879  MI_loss:2.664
Epoch: [01][900/2000]	total_loss:1.983	aug_loss:2.051	 pro_loss:207.438  MI_loss:2.756
Epoch: [01][1000/2000]	total_loss:2.638	aug_loss:2.698	 pro_loss:206.695  MI_loss:2.674
Epoch: [01][1100/2000]	total_loss:1.941	aug_loss:1.998	 pro_loss:194.277  MI_loss:2.512
Epoch: [01][1200/2000]	total_loss:2.607	aug_loss:2.668	 pro_loss:213.729  MI_loss:2.740
Epoch: [01][1300/2000]	total_loss:2.546	aug_loss:2.624	 pro_loss:193.965  MI_loss:2.720
Epoch: [01][1400/2000]	total_loss:2.651	aug_loss:2.709	 pro_loss:209.669  MI_loss:2.674
Epoch: [01][1500/2000]	total_loss:2.044	aug_loss:2.102	 pro_loss:201.479  MI_loss:2.591
Epoch: [01][1600/2000]	total_loss:1.440	aug_loss:1.504	 pro_loss:206.499  MI_loss:2.703
Epoch: [01][1700/2000]	total_loss:2.498	aug_loss:2.544	 pro_loss:211.405  MI_loss:2.571
Epoch: [01][1800/2000]	total_loss:2.126	aug_loss:2.188	 pro_loss:200.693  MI_loss:2.629
Epoch: [01][1900/2000]	total_loss:1.955	aug_loss:2.027	 pro_loss:202.466  MI_loss:2.748
epoch = 01,  best_acc1 = 56.793, best_acc1 = 56.793
Epoch: [02][0/2000]	total_loss:2.263	aug_loss:2.300	 pro_loss:211.201  MI_loss:2.482
Epoch: [02][100/2000]	total_loss:2.353	aug_loss:2.384	 pro_loss:204.935  MI_loss:2.361
Epoch: [02][200/2000]	total_loss:1.927	aug_loss:1.971	 pro_loss:212.389  MI_loss:2.567
Epoch: [02][300/2000]	total_loss:2.010	aug_loss:2.053	 pro_loss:213.042  MI_loss:2.563
Epoch: [02][400/2000]	total_loss:1.782	aug_loss:1.838	 pro_loss:213.146  MI_loss:2.691
Epoch: [02][500/2000]	total_loss:2.290	aug_loss:2.370	 pro_loss:210.529  MI_loss:2.907
Epoch: [02][600/2000]	total_loss:2.099	aug_loss:2.155	 pro_loss:202.864  MI_loss:2.598
Epoch: [02][700/2000]	total_loss:1.640	aug_loss:1.691	 pro_loss:220.813  MI_loss:2.717
Epoch: [02][800/2000]	total_loss:2.545	aug_loss:2.619	 pro_loss:210.121  MI_loss:2.848
Epoch: [02][900/2000]	total_loss:2.663	aug_loss:2.717	 pro_loss:210.639  MI_loss:2.652
Epoch: [02][1000/2000]	total_loss:2.338	aug_loss:2.403	 pro_loss:204.362  MI_loss:2.690
Epoch: [02][1100/2000]	total_loss:2.327	aug_loss:2.393	 pro_loss:197.903  MI_loss:2.643
Epoch: [02][1200/2000]	total_loss:2.238	aug_loss:2.300	 pro_loss:205.828  MI_loss:2.680
Epoch: [02][1300/2000]	total_loss:2.173	aug_loss:2.245	 pro_loss:197.309  MI_loss:2.688
Epoch: [02][1400/2000]	total_loss:1.615	aug_loss:1.666	 pro_loss:212.055  MI_loss:2.636
Epoch: [02][1500/2000]	total_loss:2.501	aug_loss:2.563	 pro_loss:213.727  MI_loss:2.754
Epoch: [02][1600/2000]	total_loss:2.546	aug_loss:2.599	 pro_loss:212.618  MI_loss:2.649
Epoch: [02][1700/2000]	total_loss:1.993	aug_loss:2.059	 pro_loss:206.538  MI_loss:2.731
Epoch: [02][1800/2000]	total_loss:1.840	aug_loss:1.879	 pro_loss:216.907  MI_loss:2.562
Epoch: [02][1900/2000]	total_loss:2.044	aug_loss:2.099	 pro_loss:217.992  MI_loss:2.731
epoch = 02,  best_acc1 = 59.586, best_acc1 = 59.586
Epoch: [03][0/2000]	total_loss:2.585	aug_loss:2.623	 pro_loss:208.935  MI_loss:2.474
Epoch: [03][100/2000]	total_loss:2.325	aug_loss:2.397	 pro_loss:201.237  MI_loss:2.740
Epoch: [03][200/2000]	total_loss:1.725	aug_loss:1.808	 pro_loss:205.891  MI_loss:2.891
Epoch: [03][300/2000]	total_loss:1.711	aug_loss:1.751	 pro_loss:216.263  MI_loss:2.561
