file name: train_TTSA_for_MSDA
PTL.version = 7.2.0
torch.version = 1.7.0+cu110
torchvision.version = 0.8.1+cu110
arch = resnet101
gpu_id = 0
dset = DomainNet
root = /data1/TL/data/list/domainnet
sources = None
target = i
output_dir = log/TTSA_for_MSDA/domainnet
center_crop = True
workers = 4
epochs = 30
iters_per_epoch = 2000
print_freq = 100
batch_size = 32
lr = 0.01
decay_rate = 0.75
momentum = 0.9
weight_decay = 0.001
seed = 2
alpha = 0.1
lambda0 = 0.25
eta = 0.5
gamma = 0.001
beta = 0.1
start_test_epoch = 0
SaveModel = False
Epoch: [00][0/2000]	total_loss:6.691	aug_loss:6.589	 pro_loss:119.829  MI_loss:0.172
Epoch: [00][100/2000]	total_loss:5.501	aug_loss:5.440	 pro_loss:115.152  MI_loss:0.544
Epoch: [00][200/2000]	total_loss:4.196	aug_loss:4.092	 pro_loss:170.687  MI_loss:0.661
Epoch: [00][300/2000]	total_loss:3.761	aug_loss:3.651	 pro_loss:189.593  MI_loss:0.794
Epoch: [00][400/2000]	total_loss:3.516	aug_loss:3.408	 pro_loss:195.483  MI_loss:0.871
Epoch: [00][500/2000]	total_loss:3.058	aug_loss:3.015	 pro_loss:168.550  MI_loss:1.256
Epoch: [00][600/2000]	total_loss:3.201	aug_loss:3.123	 pro_loss:200.989  MI_loss:1.227
Epoch: [00][700/2000]	total_loss:2.391	aug_loss:2.321	 pro_loss:203.626  MI_loss:1.340
Epoch: [00][800/2000]	total_loss:2.543	aug_loss:2.510	 pro_loss:192.814  MI_loss:1.593
Epoch: [00][900/2000]	total_loss:2.776	aug_loss:2.742	 pro_loss:192.943  MI_loss:1.582
Epoch: [00][1000/2000]	total_loss:2.291	aug_loss:2.263	 pro_loss:208.187  MI_loss:1.796
Epoch: [00][1100/2000]	total_loss:2.524	aug_loss:2.518	 pro_loss:191.336  MI_loss:1.849
Epoch: [00][1200/2000]	total_loss:2.701	aug_loss:2.740	 pro_loss:191.426  MI_loss:2.305
Epoch: [00][1300/2000]	total_loss:2.800	aug_loss:2.794	 pro_loss:203.464  MI_loss:1.976
