file name: train_TTSA_for_MSDA
PTL.version = 7.2.0
torch.version = 1.7.0+cu110
torchvision.version = 0.8.1+cu110
arch = resnet101
gpu_id = 0
dset = DomainNet
root = /data1/TL/data/list/domainnet
sources = None
target = p
output_dir = log/TTSA_for_MSDA/domainnet
center_crop = True
workers = 4
epochs = 30
iters_per_epoch = 2000
print_freq = 100
batch_size = 32
lr = 0.01
decay_rate = 0.75
momentum = 0.9
weight_decay = 0.001
seed = 2
alpha = 0.1
lambda0 = 0.25
eta = 0.5
gamma = 0.001
beta = 0.1
start_test_epoch = 0
SaveModel = False
Epoch: [00][0/2000]	total_loss:6.851	aug_loss:6.748	 pro_loss:120.434  MI_loss:0.173
Epoch: [00][100/2000]	total_loss:4.759	aug_loss:4.688	 pro_loss:125.102  MI_loss:0.537
Epoch: [00][200/2000]	total_loss:4.000	aug_loss:3.950	 pro_loss:148.818  MI_loss:0.990
Epoch: [00][300/2000]	total_loss:3.602	aug_loss:3.610	 pro_loss:145.552  MI_loss:1.541
Epoch: [00][400/2000]	total_loss:3.537	aug_loss:3.532	 pro_loss:170.994  MI_loss:1.664
Epoch: [00][500/2000]	total_loss:2.927	aug_loss:2.925	 pro_loss:187.140  MI_loss:1.846
Epoch: [00][600/2000]	total_loss:2.832	aug_loss:2.817	 pro_loss:186.196  MI_loss:1.710
Epoch: [00][700/2000]	total_loss:3.253	aug_loss:3.263	 pro_loss:182.842  MI_loss:1.932
Epoch: [00][800/2000]	total_loss:3.057	aug_loss:3.031	 pro_loss:206.465  MI_loss:1.800
Epoch: [00][900/2000]	total_loss:2.500	aug_loss:2.496	 pro_loss:200.174  MI_loss:1.963
Epoch: [00][1000/2000]	total_loss:2.734	aug_loss:2.728	 pro_loss:200.147  MI_loss:1.941
Epoch: [00][1100/2000]	total_loss:2.360	aug_loss:2.386	 pro_loss:193.957  MI_loss:2.205
Epoch: [00][1200/2000]	total_loss:3.007	aug_loss:2.996	 pro_loss:197.692  MI_loss:1.874
Epoch: [00][1300/2000]	total_loss:2.381	aug_loss:2.416	 pro_loss:197.575  MI_loss:2.326
Epoch: [00][1400/2000]	total_loss:2.802	aug_loss:2.799	 pro_loss:216.394  MI_loss:2.130
Epoch: [00][1500/2000]	total_loss:2.341	aug_loss:2.348	 pro_loss:206.998  MI_loss:2.136
Epoch: [00][1600/2000]	total_loss:2.400	aug_loss:2.431	 pro_loss:208.928  MI_loss:2.396
Epoch: [00][1700/2000]	total_loss:2.553	aug_loss:2.580	 pro_loss:203.128  MI_loss:2.305
