file name: train_TTSA_for_MSDA
PTL.version = 7.2.0
torch.version = 1.7.0+cu110
torchvision.version = 0.8.1+cu110
arch = resnet101
gpu_id = 0
dset = DomainNet
root = /data1/TL/data/list/domainnet
sources = None
target = q
output_dir = log/TTSA_for_MSDA/domainnet
center_crop = True
workers = 4
epochs = 30
iters_per_epoch = 2000
print_freq = 100
batch_size = 32
lr = 0.01
decay_rate = 0.75
momentum = 0.9
weight_decay = 0.001
seed = 2
alpha = 0.1
lambda0 = 0.25
eta = 0.5
gamma = 0.001
beta = 0.1
start_test_epoch = 0
SaveModel = False
Epoch: [00][0/2000]	total_loss:6.825	aug_loss:6.665	 pro_loss:170.657  MI_loss:0.106
Epoch: [00][100/2000]	total_loss:4.740	aug_loss:4.619	 pro_loss:150.742  MI_loss:0.293
Epoch: [00][200/2000]	total_loss:4.665	aug_loss:4.508	 pro_loss:190.547  MI_loss:0.337
Epoch: [00][300/2000]	total_loss:3.089	aug_loss:2.950	 pro_loss:197.869  MI_loss:0.586
Epoch: [00][400/2000]	total_loss:3.335	aug_loss:3.229	 pro_loss:187.782  MI_loss:0.819
Epoch: [00][500/2000]	total_loss:2.296	aug_loss:2.195	 pro_loss:189.141  MI_loss:0.886
Epoch: [00][600/2000]	total_loss:3.082	aug_loss:2.997	 pro_loss:190.516  MI_loss:1.054
Epoch: [00][700/2000]	total_loss:2.006	aug_loss:1.907	 pro_loss:208.522  MI_loss:1.097
Epoch: [00][800/2000]	total_loss:1.799	aug_loss:1.753	 pro_loss:191.123  MI_loss:1.451
Epoch: [00][900/2000]	total_loss:2.923	aug_loss:2.885	 pro_loss:195.962  MI_loss:1.573
Epoch: [00][1000/2000]	total_loss:2.405	aug_loss:2.381	 pro_loss:191.344  MI_loss:1.673
Epoch: [00][1100/2000]	total_loss:3.244	aug_loss:3.249	 pro_loss:186.744  MI_loss:1.917
Epoch: [00][1200/2000]	total_loss:2.292	aug_loss:2.289	 pro_loss:190.558  MI_loss:1.869
Epoch: [00][1300/2000]	total_loss:2.808	aug_loss:2.800	 pro_loss:195.694  MI_loss:1.876
Epoch: [00][1400/2000]	total_loss:1.999	aug_loss:1.989	 pro_loss:200.532  MI_loss:1.909
Epoch: [00][1500/2000]	total_loss:2.422	aug_loss:2.457	 pro_loss:189.726  MI_loss:2.254
Epoch: [00][1600/2000]	total_loss:2.312	aug_loss:2.317	 pro_loss:193.447  MI_loss:1.990
Epoch: [00][1700/2000]	total_loss:1.827	aug_loss:1.821	 pro_loss:207.998  MI_loss:2.023
Epoch: [00][1800/2000]	total_loss:2.620	aug_loss:2.677	 pro_loss:174.874  MI_loss:2.322
Epoch: [00][1900/2000]	total_loss:1.786	aug_loss:1.817	 pro_loss:195.426  MI_loss:2.264
epoch = 00,  best_acc1 = 11.217, best_acc1 = 11.217
Epoch: [01][0/2000]	total_loss:1.641	aug_loss:1.674	 pro_loss:201.038  MI_loss:2.346
Epoch: [01][100/2000]	total_loss:2.537	aug_loss:2.577	 pro_loss:197.532  MI_loss:2.384
Epoch: [01][200/2000]	total_loss:2.132	aug_loss:2.198	 pro_loss:176.591  MI_loss:2.419
Epoch: [01][300/2000]	total_loss:1.652	aug_loss:1.697	 pro_loss:197.181  MI_loss:2.421
Epoch: [01][400/2000]	total_loss:3.110	aug_loss:3.152	 pro_loss:191.988  MI_loss:2.343
Epoch: [01][500/2000]	total_loss:1.724	aug_loss:1.763	 pro_loss:193.956  MI_loss:2.337
Epoch: [01][600/2000]	total_loss:2.130	aug_loss:2.205	 pro_loss:187.167  MI_loss:2.624
Epoch: [01][700/2000]	total_loss:2.388	aug_loss:2.431	 pro_loss:195.637  MI_loss:2.382
Epoch: [01][800/2000]	total_loss:1.902	aug_loss:1.948	 pro_loss:200.084  MI_loss:2.459
Epoch: [01][900/2000]	total_loss:2.342	aug_loss:2.382	 pro_loss:199.359  MI_loss:2.400
Epoch: [01][1000/2000]	total_loss:2.091	aug_loss:2.137	 pro_loss:195.871  MI_loss:2.423
Epoch: [01][1100/2000]	total_loss:1.677	aug_loss:1.724	 pro_loss:213.029  MI_loss:2.601
Epoch: [01][1200/2000]	total_loss:2.446	aug_loss:2.503	 pro_loss:198.498  MI_loss:2.551
Epoch: [01][1300/2000]	total_loss:2.316	aug_loss:2.400	 pro_loss:188.649  MI_loss:2.726
Epoch: [01][1400/2000]	total_loss:1.959	aug_loss:2.009	 pro_loss:202.140  MI_loss:2.521
Epoch: [01][1500/2000]	total_loss:1.336	aug_loss:1.387	 pro_loss:201.206  MI_loss:2.523
Epoch: [01][1600/2000]	total_loss:2.247	aug_loss:2.299	 pro_loss:196.323  MI_loss:2.488
Epoch: [01][1700/2000]	total_loss:2.262	aug_loss:2.335	 pro_loss:190.922  MI_loss:2.635
Epoch: [01][1800/2000]	total_loss:2.713	aug_loss:2.776	 pro_loss:196.582  MI_loss:2.594
Epoch: [01][1900/2000]	total_loss:1.828	aug_loss:1.889	 pro_loss:194.960  MI_loss:2.564
epoch = 01,  best_acc1 = 11.689, best_acc1 = 11.689
Epoch: [02][0/2000]	total_loss:1.847	aug_loss:1.915	 pro_loss:190.128  MI_loss:2.578
