file name: train_TTSA_for_MSDA
PTL.version = 7.2.0
torch.version = 1.7.0+cu110
torchvision.version = 0.8.1+cu110
arch = resnet101
gpu_id = 0
dset = DomainNet
root = /data1/TL/data/list/domainnet
sources = None
target = r
output_dir = log/TTSA_for_MSDA/domainnet
center_crop = True
workers = 4
epochs = 30
iters_per_epoch = 2000
print_freq = 100
batch_size = 32
lr = 0.01
decay_rate = 0.75
momentum = 0.9
weight_decay = 0.001
seed = 2
alpha = 0.1
lambda0 = 0.25
eta = 0.5
gamma = 0.001
beta = 0.1
start_test_epoch = 0
SaveModel = False
Epoch: [00][0/2000]	total_loss:6.724	aug_loss:6.614	 pro_loss:127.643  MI_loss:0.175
Epoch: [00][100/2000]	total_loss:5.614	aug_loss:5.606	 pro_loss:85.642  MI_loss:0.780
Epoch: [00][200/2000]	total_loss:4.437	aug_loss:4.406	 pro_loss:132.302  MI_loss:1.007
Epoch: [00][300/2000]	total_loss:4.392	aug_loss:4.413	 pro_loss:132.787  MI_loss:1.539
Epoch: [00][400/2000]	total_loss:3.845	aug_loss:3.840	 pro_loss:153.880  MI_loss:1.492
Epoch: [00][500/2000]	total_loss:3.191	aug_loss:3.182	 pro_loss:171.367  MI_loss:1.623
Epoch: [00][600/2000]	total_loss:3.922	aug_loss:3.959	 pro_loss:158.740  MI_loss:1.959
Epoch: [00][700/2000]	total_loss:3.423	aug_loss:3.505	 pro_loss:151.927  MI_loss:2.342
Epoch: [00][800/2000]	total_loss:2.785	aug_loss:2.835	 pro_loss:171.559  MI_loss:2.210
Epoch: [00][900/2000]	total_loss:3.235	aug_loss:3.279	 pro_loss:177.868  MI_loss:2.220
Epoch: [00][1000/2000]	total_loss:2.921	aug_loss:2.989	 pro_loss:171.827  MI_loss:2.406
Epoch: [00][1100/2000]	total_loss:3.475	aug_loss:3.550	 pro_loss:177.950  MI_loss:2.531
Epoch: [00][1200/2000]	total_loss:2.534	aug_loss:2.600	 pro_loss:190.485  MI_loss:2.558
Epoch: [00][1300/2000]	total_loss:3.400	aug_loss:3.461	 pro_loss:181.965  MI_loss:2.428
Epoch: [00][1400/2000]	total_loss:3.013	aug_loss:3.063	 pro_loss:183.449  MI_loss:2.332
Epoch: [00][1500/2000]	total_loss:2.764	aug_loss:2.855	 pro_loss:178.078  MI_loss:2.696
Epoch: [00][1600/2000]	total_loss:2.757	aug_loss:2.834	 pro_loss:190.306  MI_loss:2.672
Epoch: [00][1700/2000]	total_loss:2.635	aug_loss:2.672	 pro_loss:198.008  MI_loss:2.350
Epoch: [00][1800/2000]	total_loss:2.795	aug_loss:2.870	 pro_loss:189.935  MI_loss:2.651
Epoch: [00][1900/2000]	total_loss:3.699	aug_loss:3.777	 pro_loss:198.197  MI_loss:2.765
epoch = 00,  best_acc1 = 55.310, best_acc1 = 55.310
Epoch: [01][0/2000]	total_loss:2.632	aug_loss:2.674	 pro_loss:197.857  MI_loss:2.402
Epoch: [01][100/2000]	total_loss:3.117	aug_loss:3.209	 pro_loss:184.456  MI_loss:2.763
Epoch: [01][200/2000]	total_loss:3.508	aug_loss:3.555	 pro_loss:217.916  MI_loss:2.655
Epoch: [01][300/2000]	total_loss:2.563	aug_loss:2.584	 pro_loss:211.431  MI_loss:2.329
Epoch: [01][400/2000]	total_loss:2.549	aug_loss:2.601	 pro_loss:205.683  MI_loss:2.572
Epoch: [01][500/2000]	total_loss:2.323	aug_loss:2.367	 pro_loss:215.920  MI_loss:2.604
Epoch: [01][600/2000]	total_loss:2.681	aug_loss:2.740	 pro_loss:200.084  MI_loss:2.583
Epoch: [01][700/2000]	total_loss:2.142	aug_loss:2.211	 pro_loss:203.592  MI_loss:2.726
Epoch: [01][800/2000]	total_loss:2.309	aug_loss:2.366	 pro_loss:204.484  MI_loss:2.615
Epoch: [01][900/2000]	total_loss:2.456	aug_loss:2.499	 pro_loss:209.061  MI_loss:2.514
Epoch: [01][1000/2000]	total_loss:2.369	aug_loss:2.448	 pro_loss:194.192  MI_loss:2.733
