file name: train_TTSA_for_MSDA
PTL.version = 7.2.0
torch.version = 1.7.0+cu110
torchvision.version = 0.8.1+cu110
arch = resnet101
gpu_id = 0
dset = DomainNet
root = /data1/TL/data/list/domainnet
sources = None
target = s
output_dir = log/TTSA_for_MSDA/domainnet
center_crop = True
workers = 4
epochs = 30
iters_per_epoch = 2000
print_freq = 100
batch_size = 32
lr = 0.01
decay_rate = 0.75
momentum = 0.9
weight_decay = 0.001
seed = 2
alpha = 0.1
lambda0 = 0.25
eta = 0.5
gamma = 0.001
beta = 0.1
start_test_epoch = 0
SaveModel = False
Epoch: [00][0/2000]	total_loss:6.950	aug_loss:6.835	 pro_loss:130.667  MI_loss:0.161
Epoch: [00][100/2000]	total_loss:5.392	aug_loss:5.317	 pro_loss:125.142  MI_loss:0.502
Epoch: [00][200/2000]	total_loss:4.299	aug_loss:4.241	 pro_loss:151.846  MI_loss:0.929
Epoch: [00][300/2000]	total_loss:3.715	aug_loss:3.648	 pro_loss:167.968  MI_loss:1.012
Epoch: [00][400/2000]	total_loss:3.278	aug_loss:3.224	 pro_loss:179.217  MI_loss:1.250
Epoch: [00][500/2000]	total_loss:3.344	aug_loss:3.333	 pro_loss:174.831  MI_loss:1.633
Epoch: [00][600/2000]	total_loss:3.356	aug_loss:3.389	 pro_loss:169.091  MI_loss:2.029
Epoch: [00][700/2000]	total_loss:2.599	aug_loss:2.593	 pro_loss:194.965  MI_loss:1.889
Epoch: [00][800/2000]	total_loss:3.014	aug_loss:3.009	 pro_loss:185.500  MI_loss:1.812
Epoch: [00][900/2000]	total_loss:3.290	aug_loss:3.318	 pro_loss:186.391  MI_loss:2.140
Epoch: [00][1000/2000]	total_loss:2.905	aug_loss:2.919	 pro_loss:192.036  MI_loss:2.054
Epoch: [00][1100/2000]	total_loss:3.538	aug_loss:3.554	 pro_loss:197.789  MI_loss:2.134
Epoch: [00][1200/2000]	total_loss:2.560	aug_loss:2.614	 pro_loss:186.521  MI_loss:2.402
Epoch: [00][1300/2000]	total_loss:2.710	aug_loss:2.713	 pro_loss:198.121  MI_loss:2.011
Epoch: [00][1400/2000]	total_loss:2.538	aug_loss:2.547	 pro_loss:209.783  MI_loss:2.187
Epoch: [00][1500/2000]	total_loss:2.174	aug_loss:2.194	 pro_loss:205.059  MI_loss:2.254
Epoch: [00][1600/2000]	total_loss:2.718	aug_loss:2.761	 pro_loss:193.934  MI_loss:2.364
Epoch: [00][1700/2000]	total_loss:2.691	aug_loss:2.732	 pro_loss:200.904  MI_loss:2.417
Epoch: [00][1800/2000]	total_loss:1.936	aug_loss:1.932	 pro_loss:221.265  MI_loss:2.173
Epoch: [00][1900/2000]	total_loss:1.797	aug_loss:1.839	 pro_loss:204.038  MI_loss:2.458
epoch = 00,  best_acc1 = 44.674, best_acc1 = 44.674
Epoch: [01][0/2000]	total_loss:2.529	aug_loss:2.560	 pro_loss:208.863  MI_loss:2.401
Epoch: [01][100/2000]	total_loss:2.273	aug_loss:2.281	 pro_loss:201.896  MI_loss:2.105
Epoch: [01][200/2000]	total_loss:3.287	aug_loss:3.343	 pro_loss:196.693  MI_loss:2.525
Epoch: [01][300/2000]	total_loss:2.216	aug_loss:2.253	 pro_loss:214.232  MI_loss:2.505
Epoch: [01][400/2000]	total_loss:1.551	aug_loss:1.585	 pro_loss:204.489  MI_loss:2.386
Epoch: [01][500/2000]	total_loss:2.446	aug_loss:2.484	 pro_loss:205.633  MI_loss:2.438
Epoch: [01][600/2000]	total_loss:1.434	aug_loss:1.490	 pro_loss:215.374  MI_loss:2.712
Epoch: [01][700/2000]	total_loss:2.095	aug_loss:2.144	 pro_loss:202.306  MI_loss:2.510
Epoch: [01][800/2000]	total_loss:2.699	aug_loss:2.742	 pro_loss:207.605  MI_loss:2.510
Epoch: [01][900/2000]	total_loss:2.930	aug_loss:2.975	 pro_loss:204.129  MI_loss:2.495
Epoch: [01][1000/2000]	total_loss:2.380	aug_loss:2.421	 pro_loss:206.665  MI_loss:2.470
Epoch: [01][1100/2000]	total_loss:1.523	aug_loss:1.562	 pro_loss:206.684  MI_loss:2.463
Epoch: [01][1200/2000]	total_loss:2.423	aug_loss:2.441	 pro_loss:225.563  MI_loss:2.432
Epoch: [01][1300/2000]	total_loss:2.682	aug_loss:2.728	 pro_loss:209.531  MI_loss:2.561
Epoch: [01][1400/2000]	total_loss:2.259	aug_loss:2.300	 pro_loss:211.953  MI_loss:2.526
Epoch: [01][1500/2000]	total_loss:1.597	aug_loss:1.630	 pro_loss:217.367  MI_loss:2.497
Epoch: [01][1600/2000]	total_loss:1.900	aug_loss:1.917	 pro_loss:214.852  MI_loss:2.326
Epoch: [01][1700/2000]	total_loss:1.779	aug_loss:1.806	 pro_loss:207.137  MI_loss:2.346
Epoch: [01][1800/2000]	total_loss:1.919	aug_loss:1.931	 pro_loss:222.690  MI_loss:2.349
Epoch: [01][1900/2000]	total_loss:2.993	aug_loss:3.034	 pro_loss:209.485  MI_loss:2.505
epoch = 01,  best_acc1 = 47.686, best_acc1 = 47.686
Epoch: [02][0/2000]	total_loss:2.402	aug_loss:2.469	 pro_loss:204.696  MI_loss:2.714
Epoch: [02][100/2000]	total_loss:2.238	aug_loss:2.279	 pro_loss:219.212  MI_loss:2.601
Epoch: [02][200/2000]	total_loss:1.800	aug_loss:1.856	 pro_loss:201.845  MI_loss:2.584
Epoch: [02][300/2000]	total_loss:2.088	aug_loss:2.118	 pro_loss:217.730  MI_loss:2.479
Epoch: [02][400/2000]	total_loss:1.837	aug_loss:1.869	 pro_loss:219.256  MI_loss:2.512
Epoch: [02][500/2000]	total_loss:1.188	aug_loss:1.226	 pro_loss:228.774  MI_loss:2.670
Epoch: [02][600/2000]	total_loss:2.959	aug_loss:3.015	 pro_loss:200.369  MI_loss:2.569
Epoch: [02][700/2000]	total_loss:1.354	aug_loss:1.414	 pro_loss:213.018  MI_loss:2.734
Epoch: [02][800/2000]	total_loss:1.755	aug_loss:1.819	 pro_loss:203.587  MI_loss:2.682
Epoch: [02][900/2000]	total_loss:2.217	aug_loss:2.279	 pro_loss:207.975  MI_loss:2.699
Epoch: [02][1000/2000]	total_loss:1.813	aug_loss:1.863	 pro_loss:203.720  MI_loss:2.536
Epoch: [02][1100/2000]	total_loss:1.826	aug_loss:1.860	 pro_loss:225.933  MI_loss:2.597
Epoch: [02][1200/2000]	total_loss:1.881	aug_loss:1.932	 pro_loss:211.518  MI_loss:2.624
Epoch: [02][1300/2000]	total_loss:2.372	aug_loss:2.442	 pro_loss:200.198  MI_loss:2.702
Epoch: [02][1400/2000]	total_loss:2.108	aug_loss:2.172	 pro_loss:208.270  MI_loss:2.717
Epoch: [02][1500/2000]	total_loss:1.152	aug_loss:1.169	 pro_loss:215.686  MI_loss:2.325
Epoch: [02][1600/2000]	total_loss:1.765	aug_loss:1.803	 pro_loss:211.752  MI_loss:2.502
Epoch: [02][1700/2000]	total_loss:1.858	aug_loss:1.904	 pro_loss:209.430  MI_loss:2.551
Epoch: [02][1800/2000]	total_loss:1.591	aug_loss:1.664	 pro_loss:206.557  MI_loss:2.790
Epoch: [02][1900/2000]	total_loss:1.889	aug_loss:1.966	 pro_loss:208.399  MI_loss:2.848
epoch = 02,  best_acc1 = 50.206, best_acc1 = 50.206
Epoch: [03][0/2000]	total_loss:1.310	aug_loss:1.366	 pro_loss:218.898  MI_loss:2.751
Epoch: [03][100/2000]	total_loss:2.394	aug_loss:2.453	 pro_loss:212.066  MI_loss:2.718
Epoch: [03][200/2000]	total_loss:1.590	aug_loss:1.636	 pro_loss:213.776  MI_loss:2.600
Epoch: [03][300/2000]	total_loss:3.213	aug_loss:3.277	 pro_loss:205.072  MI_loss:2.693
Epoch: [03][400/2000]	total_loss:1.400	aug_loss:1.441	 pro_loss:207.694  MI_loss:2.484
Epoch: [03][500/2000]	total_loss:2.001	aug_loss:2.043	 pro_loss:214.973  MI_loss:2.575
Epoch: [03][600/2000]	total_loss:2.104	aug_loss:2.154	 pro_loss:207.712  MI_loss:2.582
Epoch: [03][700/2000]	total_loss:1.833	aug_loss:1.879	 pro_loss:211.266  MI_loss:2.572
Epoch: [03][800/2000]	total_loss:1.720	aug_loss:1.779	 pro_loss:203.773  MI_loss:2.631
Epoch: [03][900/2000]	total_loss:2.786	aug_loss:2.856	 pro_loss:196.284  MI_loss:2.661
Epoch: [03][1000/2000]	total_loss:2.187	aug_loss:2.237	 pro_loss:204.773  MI_loss:2.549
Epoch: [03][1100/2000]	total_loss:2.019	aug_loss:2.075	 pro_loss:219.539  MI_loss:2.761
Epoch: [03][1200/2000]	total_loss:1.995	aug_loss:2.074	 pro_loss:204.872  MI_loss:2.842
Epoch: [03][1300/2000]	total_loss:2.333	aug_loss:2.408	 pro_loss:202.754  MI_loss:2.774
Epoch: [03][1400/2000]	total_loss:1.766	aug_loss:1.842	 pro_loss:202.486  MI_loss:2.777
