file name: train_TTSA_for_MSDA
PTL.version = 7.2.0
torch.version = 1.7.0+cu110
torchvision.version = 0.8.1+cu110
arch = resnet50
gpu_id = 0
dset = office-home
root = /data1/TL/data/office-home-65/
sources = None
target = a
output_dir = log/TTSA_for_MSDA/home
center_crop = False
workers = 4
epochs = 40
iters_per_epoch = 1000
print_freq = 100
batch_size = 32
lr = 0.01
decay_rate = 0.75
momentum = 0.9
weight_decay = 0.001
seed = 2
alpha = 0.1
lambda0 = 0.25
eta = 0.5
gamma = 0.001
beta = 0.1
start_test_epoch = 0
SaveModel = False
Epoch: [00][0/1000]	total_loss:4.964	aug_loss:4.844	 pro_loss:136.321  MI_loss:0.167
Epoch: [00][100/1000]	total_loss:1.966	aug_loss:1.992	 pro_loss:133.924  MI_loss:1.603
Epoch: [00][200/1000]	total_loss:1.280	aug_loss:1.347	 pro_loss:135.858  MI_loss:2.034
Epoch: [00][300/1000]	total_loss:1.839	aug_loss:1.886	 pro_loss:150.987  MI_loss:1.982
Epoch: [00][400/1000]	total_loss:1.867	aug_loss:1.937	 pro_loss:141.735  MI_loss:2.121
Epoch: [00][500/1000]	total_loss:1.049	aug_loss:1.157	 pro_loss:130.226  MI_loss:2.380
Epoch: [00][600/1000]	total_loss:0.925	aug_loss:1.009	 pro_loss:141.828  MI_loss:2.260
Epoch: [00][700/1000]	total_loss:0.929	aug_loss:1.038	 pro_loss:137.363  MI_loss:2.464
Epoch: [00][800/1000]	total_loss:0.681	aug_loss:0.753	 pro_loss:143.268  MI_loss:2.154
Epoch: [00][900/1000]	total_loss:1.141	aug_loss:1.231	 pro_loss:133.350  MI_loss:2.232
epoch = 00,  best_acc1 = 68.480, best_acc1 = 68.480
Epoch: [01][0/1000]	total_loss:0.691	aug_loss:0.779	 pro_loss:139.150  MI_loss:2.274
Epoch: [01][100/1000]	total_loss:1.148	aug_loss:1.222	 pro_loss:142.193  MI_loss:2.157
Epoch: [01][200/1000]	total_loss:1.013	aug_loss:1.116	 pro_loss:139.594  MI_loss:2.431
Epoch: [01][300/1000]	total_loss:0.969	aug_loss:1.087	 pro_loss:143.608  MI_loss:2.622
Epoch: [01][400/1000]	total_loss:0.777	aug_loss:0.863	 pro_loss:145.755  MI_loss:2.325
Epoch: [01][500/1000]	total_loss:0.595	aug_loss:0.728	 pro_loss:130.059  MI_loss:2.632
Epoch: [01][600/1000]	total_loss:1.272	aug_loss:1.413	 pro_loss:131.809  MI_loss:2.725
Epoch: [01][700/1000]	total_loss:0.414	aug_loss:0.525	 pro_loss:139.516  MI_loss:2.511
Epoch: [01][800/1000]	total_loss:1.127	aug_loss:1.237	 pro_loss:131.786  MI_loss:2.418
Epoch: [01][900/1000]	total_loss:0.531	aug_loss:0.629	 pro_loss:136.176  MI_loss:2.347
epoch = 01,  best_acc1 = 70.622, best_acc1 = 70.622
Epoch: [02][0/1000]	total_loss:0.481	aug_loss:0.591	 pro_loss:133.539  MI_loss:2.435
Epoch: [02][100/1000]	total_loss:0.696	aug_loss:0.828	 pro_loss:135.924  MI_loss:2.681
Epoch: [02][200/1000]	total_loss:1.118	aug_loss:1.243	 pro_loss:136.148  MI_loss:2.609
Epoch: [02][300/1000]	total_loss:0.478	aug_loss:0.607	 pro_loss:125.435  MI_loss:2.542
Epoch: [02][400/1000]	total_loss:0.224	aug_loss:0.366	 pro_loss:130.388  MI_loss:2.731
Epoch: [02][500/1000]	total_loss:0.567	aug_loss:0.707	 pro_loss:129.085  MI_loss:2.688
Epoch: [02][600/1000]	total_loss:0.748	aug_loss:0.849	 pro_loss:141.950  MI_loss:2.433
Epoch: [02][700/1000]	total_loss:0.693	aug_loss:0.796	 pro_loss:139.017  MI_loss:2.422
Epoch: [02][800/1000]	total_loss:0.738	aug_loss:0.908	 pro_loss:118.637  MI_loss:2.881
Epoch: [02][900/1000]	total_loss:0.406	aug_loss:0.518	 pro_loss:138.309  MI_loss:2.494
epoch = 02,  best_acc1 = 72.888, best_acc1 = 72.888
Epoch: [03][0/1000]	total_loss:0.419	aug_loss:0.529	 pro_loss:138.939  MI_loss:2.489
Epoch: [03][100/1000]	total_loss:0.403	aug_loss:0.531	 pro_loss:133.060  MI_loss:2.609
Epoch: [03][200/1000]	total_loss:1.217	aug_loss:1.325	 pro_loss:133.793  MI_loss:2.419
Epoch: [03][300/1000]	total_loss:0.492	aug_loss:0.606	 pro_loss:128.977  MI_loss:2.432
Epoch: [03][400/1000]	total_loss:0.385	aug_loss:0.539	 pro_loss:111.650  MI_loss:2.658
Epoch: [03][500/1000]	total_loss:0.421	aug_loss:0.554	 pro_loss:137.856  MI_loss:2.705
Epoch: [03][600/1000]	total_loss:0.390	aug_loss:0.550	 pro_loss:123.649  MI_loss:2.835
Epoch: [03][700/1000]	total_loss:0.585	aug_loss:0.727	 pro_loss:125.011  MI_loss:2.676
Epoch: [03][800/1000]	total_loss:0.571	aug_loss:0.703	 pro_loss:129.825  MI_loss:2.611
Epoch: [03][900/1000]	total_loss:0.371	aug_loss:0.484	 pro_loss:130.002  MI_loss:2.426
epoch = 03,  best_acc1 = 72.888, best_acc1 = 72.888
Epoch: [04][0/1000]	total_loss:0.650	aug_loss:0.784	 pro_loss:117.950  MI_loss:2.522
Epoch: [04][100/1000]	total_loss:0.483	aug_loss:0.600	 pro_loss:129.437  MI_loss:2.460
Epoch: [04][200/1000]	total_loss:0.488	aug_loss:0.634	 pro_loss:129.572  MI_loss:2.759
Epoch: [04][300/1000]	total_loss:0.627	aug_loss:0.765	 pro_loss:125.736  MI_loss:2.636
Epoch: [04][400/1000]	total_loss:0.378	aug_loss:0.505	 pro_loss:131.663  MI_loss:2.581
Epoch: [04][500/1000]	total_loss:0.420	aug_loss:0.526	 pro_loss:132.581  MI_loss:2.378
Epoch: [04][600/1000]	total_loss:0.251	aug_loss:0.370	 pro_loss:129.212  MI_loss:2.478
Epoch: [04][700/1000]	total_loss:0.444	aug_loss:0.582	 pro_loss:126.951  MI_loss:2.649
Epoch: [04][800/1000]	total_loss:0.417	aug_loss:0.547	 pro_loss:133.532  MI_loss:2.633
Epoch: [04][900/1000]	total_loss:0.490	aug_loss:0.652	 pro_loss:116.956  MI_loss:2.792
epoch = 04,  best_acc1 = 73.342, best_acc1 = 73.342
Epoch: [05][0/1000]	total_loss:0.256	aug_loss:0.375	 pro_loss:132.217  MI_loss:2.516
Epoch: [05][100/1000]	total_loss:0.768	aug_loss:0.904	 pro_loss:127.531  MI_loss:2.634
Epoch: [05][200/1000]	total_loss:0.539	aug_loss:0.691	 pro_loss:127.441  MI_loss:2.800
Epoch: [05][300/1000]	total_loss:0.073	aug_loss:0.193	 pro_loss:125.529  MI_loss:2.449
Epoch: [05][400/1000]	total_loss:0.277	aug_loss:0.408	 pro_loss:130.072  MI_loss:2.616
Epoch: [05][500/1000]	total_loss:0.291	aug_loss:0.406	 pro_loss:132.180  MI_loss:2.468
Epoch: [05][600/1000]	total_loss:0.196	aug_loss:0.343	 pro_loss:128.504  MI_loss:2.758
Epoch: [05][700/1000]	total_loss:0.548	aug_loss:0.694	 pro_loss:132.078  MI_loss:2.782
Epoch: [05][800/1000]	total_loss:0.483	aug_loss:0.590	 pro_loss:124.575  MI_loss:2.319
Epoch: [05][900/1000]	total_loss:0.165	aug_loss:0.339	 pro_loss:99.762  MI_loss:2.739
epoch = 05,  best_acc1 = 73.712, best_acc1 = 73.712
Epoch: [06][0/1000]	total_loss:0.443	aug_loss:0.596	 pro_loss:117.315  MI_loss:2.699
Epoch: [06][100/1000]	total_loss:0.239	aug_loss:0.356	 pro_loss:136.878  MI_loss:2.540
Epoch: [06][200/1000]	total_loss:0.272	aug_loss:0.407	 pro_loss:123.321  MI_loss:2.582
Epoch: [06][300/1000]	total_loss:0.370	aug_loss:0.475	 pro_loss:130.391  MI_loss:2.355
Epoch: [06][400/1000]	total_loss:0.144	aug_loss:0.312	 pro_loss:115.195  MI_loss:2.837
Epoch: [06][500/1000]	total_loss:0.409	aug_loss:0.543	 pro_loss:118.328  MI_loss:2.526
Epoch: [06][600/1000]	total_loss:0.033	aug_loss:0.171	 pro_loss:127.777  MI_loss:2.661
Epoch: [06][700/1000]	total_loss:0.206	aug_loss:0.303	 pro_loss:124.387  MI_loss:2.214
Epoch: [06][800/1000]	total_loss:0.447	aug_loss:0.622	 pro_loss:111.636  MI_loss:2.861
Epoch: [06][900/1000]	total_loss:0.532	aug_loss:0.651	 pro_loss:132.237  MI_loss:2.509
epoch = 06,  best_acc1 = 74.124, best_acc1 = 74.124
Epoch: [07][0/1000]	total_loss:0.524	aug_loss:0.671	 pro_loss:121.424  MI_loss:2.685
