file name: train_TTSA_for_MSDA
PTL.version = 7.2.0
torch.version = 1.7.0+cu110
torchvision.version = 0.8.1+cu110
arch = resnet50
gpu_id = 0
dset = office-home
root = /data1/TL/data/office-home-65/
sources = None
target = c
output_dir = log/TTSA_for_MSDA/home
center_crop = False
workers = 4
epochs = 40
iters_per_epoch = 1000
print_freq = 100
batch_size = 32
lr = 0.01
decay_rate = 0.75
momentum = 0.9
weight_decay = 0.001
seed = 2
alpha = 0.1
lambda0 = 0.25
eta = 0.5
gamma = 0.001
beta = 0.1
start_test_epoch = 0
SaveModel = False
Epoch: [00][0/1000]	total_loss:5.053	aug_loss:4.921	 pro_loss:144.551  MI_loss:0.129
Epoch: [00][100/1000]	total_loss:1.629	aug_loss:1.632	 pro_loss:155.752  MI_loss:1.587
Epoch: [00][200/1000]	total_loss:1.619	aug_loss:1.625	 pro_loss:153.386  MI_loss:1.598
Epoch: [00][300/1000]	total_loss:1.532	aug_loss:1.604	 pro_loss:149.474  MI_loss:2.219
Epoch: [00][400/1000]	total_loss:1.044	aug_loss:1.124	 pro_loss:142.241  MI_loss:2.218
Epoch: [00][500/1000]	total_loss:0.922	aug_loss:1.013	 pro_loss:139.386  MI_loss:2.300
Epoch: [00][600/1000]	total_loss:1.279	aug_loss:1.336	 pro_loss:148.422  MI_loss:2.058
Epoch: [00][700/1000]	total_loss:0.524	aug_loss:0.615	 pro_loss:143.586  MI_loss:2.352
Epoch: [00][800/1000]	total_loss:0.705	aug_loss:0.766	 pro_loss:150.785  MI_loss:2.120
Epoch: [00][900/1000]	total_loss:0.719	aug_loss:0.808	 pro_loss:144.797  MI_loss:2.344
epoch = 00,  best_acc1 = 55.029, best_acc1 = 55.029
Epoch: [01][0/1000]	total_loss:0.916	aug_loss:0.984	 pro_loss:157.402  MI_loss:2.251
Epoch: [01][100/1000]	total_loss:1.276	aug_loss:1.372	 pro_loss:139.676  MI_loss:2.352
Epoch: [01][200/1000]	total_loss:0.245	aug_loss:0.306	 pro_loss:146.220  MI_loss:2.069
Epoch: [01][300/1000]	total_loss:0.564	aug_loss:0.642	 pro_loss:152.001  MI_loss:2.294
Epoch: [01][400/1000]	total_loss:0.461	aug_loss:0.547	 pro_loss:145.798  MI_loss:2.317
Epoch: [01][500/1000]	total_loss:0.947	aug_loss:1.063	 pro_loss:131.811  MI_loss:2.475
Epoch: [01][600/1000]	total_loss:0.276	aug_loss:0.373	 pro_loss:143.444  MI_loss:2.403
Epoch: [01][700/1000]	total_loss:0.378	aug_loss:0.522	 pro_loss:117.434  MI_loss:2.618
Epoch: [01][800/1000]	total_loss:0.470	aug_loss:0.577	 pro_loss:137.216  MI_loss:2.442
Epoch: [01][900/1000]	total_loss:0.241	aug_loss:0.317	 pro_loss:149.156  MI_loss:2.256
epoch = 01,  best_acc1 = 57.251, best_acc1 = 57.251
Epoch: [02][0/1000]	total_loss:0.988	aug_loss:1.123	 pro_loss:125.748  MI_loss:2.607
Epoch: [02][100/1000]	total_loss:0.660	aug_loss:0.764	 pro_loss:156.963  MI_loss:2.612
Epoch: [02][200/1000]	total_loss:0.542	aug_loss:0.645	 pro_loss:138.111  MI_loss:2.412
Epoch: [02][300/1000]	total_loss:0.253	aug_loss:0.362	 pro_loss:140.284  MI_loss:2.488
Epoch: [02][400/1000]	total_loss:0.579	aug_loss:0.682	 pro_loss:134.067  MI_loss:2.375
