file name: train_TTSA_for_MSDA
PTL.version = 7.2.0
torch.version = 1.7.0+cu110
torchvision.version = 0.8.1+cu110
arch = resnet50
gpu_id = 0
dset = office-home
root = /data1/TL/data/office-home-65/
sources = None
target = p
output_dir = log/TTSA_for_MSDA/home
center_crop = False
workers = 4
epochs = 40
iters_per_epoch = 1000
print_freq = 100
batch_size = 32
lr = 0.01
decay_rate = 0.75
momentum = 0.9
weight_decay = 0.001
seed = 2
alpha = 0.1
lambda0 = 0.25
eta = 0.5
gamma = 0.001
beta = 0.1
start_test_epoch = 0
SaveModel = False
Epoch: [00][0/1000]	total_loss:5.011	aug_loss:4.887	 pro_loss:139.320  MI_loss:0.148
Epoch: [00][100/1000]	total_loss:2.095	aug_loss:2.162	 pro_loss:128.063  MI_loss:1.956
Epoch: [00][200/1000]	total_loss:1.635	aug_loss:1.732	 pro_loss:136.460  MI_loss:2.334
Epoch: [00][300/1000]	total_loss:1.488	aug_loss:1.583	 pro_loss:133.031  MI_loss:2.280
Epoch: [00][400/1000]	total_loss:1.159	aug_loss:1.275	 pro_loss:131.738  MI_loss:2.476
Epoch: [00][500/1000]	total_loss:1.351	aug_loss:1.478	 pro_loss:145.782  MI_loss:2.727
Epoch: [00][600/1000]	total_loss:1.011	aug_loss:1.084	 pro_loss:160.136  MI_loss:2.334
Epoch: [00][700/1000]	total_loss:1.232	aug_loss:1.318	 pro_loss:145.299  MI_loss:2.321
Epoch: [00][800/1000]	total_loss:1.733	aug_loss:1.862	 pro_loss:145.195  MI_loss:2.740
Epoch: [00][900/1000]	total_loss:0.899	aug_loss:1.002	 pro_loss:142.374  MI_loss:2.445
epoch = 00,  best_acc1 = 79.185, best_acc1 = 79.185
Epoch: [01][0/1000]	total_loss:0.732	aug_loss:0.814	 pro_loss:153.361  MI_loss:2.354
Epoch: [01][100/1000]	total_loss:1.054	aug_loss:1.162	 pro_loss:136.515  MI_loss:2.448
Epoch: [01][200/1000]	total_loss:1.052	aug_loss:1.160	 pro_loss:151.150  MI_loss:2.589
Epoch: [01][300/1000]	total_loss:0.597	aug_loss:0.714	 pro_loss:147.884  MI_loss:2.651
Epoch: [01][400/1000]	total_loss:0.693	aug_loss:0.839	 pro_loss:138.130  MI_loss:2.842
Epoch: [01][500/1000]	total_loss:1.071	aug_loss:1.161	 pro_loss:147.117  MI_loss:2.375
Epoch: [01][600/1000]	total_loss:0.699	aug_loss:0.865	 pro_loss:122.391  MI_loss:2.885
Epoch: [01][700/1000]	total_loss:0.875	aug_loss:0.992	 pro_loss:135.233  MI_loss:2.525
Epoch: [01][800/1000]	total_loss:0.320	aug_loss:0.446	 pro_loss:139.023  MI_loss:2.647
Epoch: [01][900/1000]	total_loss:0.622	aug_loss:0.744	 pro_loss:142.665  MI_loss:2.643
epoch = 01,  best_acc1 = 80.311, best_acc1 = 80.311
Epoch: [02][0/1000]	total_loss:0.820	aug_loss:0.959	 pro_loss:122.978  MI_loss:2.612
Epoch: [02][100/1000]	total_loss:0.252	aug_loss:0.405	 pro_loss:118.733  MI_loss:2.712
Epoch: [02][200/1000]	total_loss:0.456	aug_loss:0.585	 pro_loss:144.329  MI_loss:2.732
Epoch: [02][300/1000]	total_loss:0.432	aug_loss:0.538	 pro_loss:148.343  MI_loss:2.543
Epoch: [02][400/1000]	total_loss:0.455	aug_loss:0.580	 pro_loss:150.119  MI_loss:2.750
Epoch: [02][500/1000]	total_loss:0.543	aug_loss:0.689	 pro_loss:128.039  MI_loss:2.743
Epoch: [02][600/1000]	total_loss:0.365	aug_loss:0.525	 pro_loss:132.066  MI_loss:2.919
Epoch: [02][700/1000]	total_loss:0.491	aug_loss:0.637	 pro_loss:125.932  MI_loss:2.715
Epoch: [02][800/1000]	total_loss:0.385	aug_loss:0.518	 pro_loss:137.143  MI_loss:2.697
Epoch: [02][900/1000]	total_loss:0.914	aug_loss:1.057	 pro_loss:133.746  MI_loss:2.768
epoch = 02,  best_acc1 = 80.919, best_acc1 = 80.919
Epoch: [03][0/1000]	total_loss:0.966	aug_loss:1.106	 pro_loss:131.531  MI_loss:2.716
Epoch: [03][100/1000]	total_loss:1.117	aug_loss:1.265	 pro_loss:134.328  MI_loss:2.821
Epoch: [03][200/1000]	total_loss:0.472	aug_loss:0.596	 pro_loss:137.241  MI_loss:2.611
Epoch: [03][300/1000]	total_loss:0.612	aug_loss:0.737	 pro_loss:151.134  MI_loss:2.762
Epoch: [03][400/1000]	total_loss:0.515	aug_loss:0.657	 pro_loss:141.376  MI_loss:2.826
Epoch: [03][500/1000]	total_loss:0.707	aug_loss:0.862	 pro_loss:122.702  MI_loss:2.779
Epoch: [03][600/1000]	total_loss:0.483	aug_loss:0.626	 pro_loss:145.749  MI_loss:2.881
Epoch: [03][700/1000]	total_loss:0.492	aug_loss:0.624	 pro_loss:130.497  MI_loss:2.624
Epoch: [03][800/1000]	total_loss:0.360	aug_loss:0.504	 pro_loss:136.161  MI_loss:2.801
Epoch: [03][900/1000]	total_loss:0.524	aug_loss:0.662	 pro_loss:139.689  MI_loss:2.772
epoch = 03,  best_acc1 = 81.122, best_acc1 = 81.122
Epoch: [04][0/1000]	total_loss:0.248	aug_loss:0.402	 pro_loss:122.425  MI_loss:2.772
Epoch: [04][100/1000]	total_loss:0.636	aug_loss:0.770	 pro_loss:130.521  MI_loss:2.648
Epoch: [04][200/1000]	total_loss:0.236	aug_loss:0.371	 pro_loss:125.990  MI_loss:2.612
Epoch: [04][300/1000]	total_loss:0.640	aug_loss:0.785	 pro_loss:131.240  MI_loss:2.764
Epoch: [04][400/1000]	total_loss:0.391	aug_loss:0.511	 pro_loss:143.814  MI_loss:2.629
Epoch: [04][500/1000]	total_loss:0.684	aug_loss:0.815	 pro_loss:143.525  MI_loss:2.746
Epoch: [04][600/1000]	total_loss:0.323	aug_loss:0.472	 pro_loss:135.575  MI_loss:2.841
Epoch: [04][700/1000]	total_loss:0.504	aug_loss:0.625	 pro_loss:132.630  MI_loss:2.537
Epoch: [04][800/1000]	total_loss:0.493	aug_loss:0.598	 pro_loss:141.749  MI_loss:2.469
Epoch: [04][900/1000]	total_loss:0.201	aug_loss:0.341	 pro_loss:145.319  MI_loss:2.846
epoch = 04,  best_acc1 = 81.460, best_acc1 = 81.460
Epoch: [05][0/1000]	total_loss:0.276	aug_loss:0.419	 pro_loss:131.938  MI_loss:2.741
Epoch: [05][100/1000]	total_loss:0.691	aug_loss:0.827	 pro_loss:128.693  MI_loss:2.642
Epoch: [05][200/1000]	total_loss:0.540	aug_loss:0.712	 pro_loss:111.404  MI_loss:2.834
Epoch: [05][300/1000]	total_loss:0.336	aug_loss:0.477	 pro_loss:122.967  MI_loss:2.639
Epoch: [05][400/1000]	total_loss:0.514	aug_loss:0.669	 pro_loss:128.116  MI_loss:2.833
Epoch: [05][500/1000]	total_loss:0.115	aug_loss:0.227	 pro_loss:132.518  MI_loss:2.442
Epoch: [05][600/1000]	total_loss:0.246	aug_loss:0.421	 pro_loss:107.232  MI_loss:2.826
Epoch: [05][700/1000]	total_loss:0.323	aug_loss:0.505	 pro_loss:117.751  MI_loss:2.991
Epoch: [05][800/1000]	total_loss:0.077	aug_loss:0.218	 pro_loss:131.705  MI_loss:2.726
Epoch: [05][900/1000]	total_loss:0.273	aug_loss:0.443	 pro_loss:120.086  MI_loss:2.902
epoch = 05,  best_acc1 = 82.248, best_acc1 = 82.248
Epoch: [06][0/1000]	total_loss:0.341	aug_loss:0.508	 pro_loss:115.833  MI_loss:2.829
Epoch: [06][100/1000]	total_loss:0.619	aug_loss:0.762	 pro_loss:126.726  MI_loss:2.691
Epoch: [06][200/1000]	total_loss:0.540	aug_loss:0.657	 pro_loss:136.613  MI_loss:2.536
Epoch: [06][300/1000]	total_loss:0.315	aug_loss:0.435	 pro_loss:129.602  MI_loss:2.500
Epoch: [06][400/1000]	total_loss:0.401	aug_loss:0.547	 pro_loss:120.149  MI_loss:2.663
Epoch: [06][500/1000]	total_loss:0.478	aug_loss:0.581	 pro_loss:139.579  MI_loss:2.424
Epoch: [06][600/1000]	total_loss:0.055	aug_loss:0.201	 pro_loss:112.680  MI_loss:2.584
Epoch: [06][700/1000]	total_loss:0.192	aug_loss:0.351	 pro_loss:117.756  MI_loss:2.767
Epoch: [06][800/1000]	total_loss:0.480	aug_loss:0.619	 pro_loss:132.699  MI_loss:2.712
Epoch: [06][900/1000]	total_loss:0.346	aug_loss:0.469	 pro_loss:130.965  MI_loss:2.544
epoch = 06,  best_acc1 = 82.902, best_acc1 = 82.902
Epoch: [07][0/1000]	total_loss:-0.010	aug_loss:0.133	 pro_loss:125.225  MI_loss:2.685
Epoch: [07][100/1000]	total_loss:0.506	aug_loss:0.681	 pro_loss:107.901  MI_loss:2.829
Epoch: [07][200/1000]	total_loss:0.190	aug_loss:0.360	 pro_loss:115.036  MI_loss:2.842
Epoch: [07][300/1000]	total_loss:0.255	aug_loss:0.403	 pro_loss:129.510  MI_loss:2.776
Epoch: [07][400/1000]	total_loss:0.423	aug_loss:0.558	 pro_loss:132.065  MI_loss:2.670
Epoch: [07][500/1000]	total_loss:0.212	aug_loss:0.370	 pro_loss:121.955  MI_loss:2.801
Epoch: [07][600/1000]	total_loss:0.321	aug_loss:0.488	 pro_loss:106.974  MI_loss:2.742
Epoch: [07][700/1000]	total_loss:0.103	aug_loss:0.284	 pro_loss:121.632  MI_loss:3.028
Epoch: [07][800/1000]	total_loss:0.398	aug_loss:0.556	 pro_loss:113.555  MI_loss:2.719
