file name: train_TTSA_for_MSDA
PTL.version = 7.2.0
torch.version = 1.7.0+cu110
torchvision.version = 0.8.1+cu110
arch = resnet50
gpu_id = 0
dset = office-home
root = /data1/TL/data/office-home-65/
sources = None
target = r
output_dir = log/TTSA_for_MSDA/home
center_crop = False
workers = 4
epochs = 40
iters_per_epoch = 1000
print_freq = 100
batch_size = 32
lr = 0.01
decay_rate = 0.75
momentum = 0.9
weight_decay = 0.001
seed = 2
alpha = 0.1
lambda0 = 0.25
eta = 0.5
gamma = 0.001
beta = 0.1
start_test_epoch = 0
SaveModel = False
Epoch: [00][0/1000]	total_loss:5.172	aug_loss:5.053	 pro_loss:133.329  MI_loss:0.150
Epoch: [00][100/1000]	total_loss:1.806	aug_loss:1.880	 pro_loss:135.369  MI_loss:2.086
Epoch: [00][200/1000]	total_loss:1.910	aug_loss:2.012	 pro_loss:126.099  MI_loss:2.289
Epoch: [00][300/1000]	total_loss:1.446	aug_loss:1.544	 pro_loss:135.259  MI_loss:2.335
Epoch: [00][400/1000]	total_loss:1.022	aug_loss:1.106	 pro_loss:143.109  MI_loss:2.271
Epoch: [00][500/1000]	total_loss:0.925	aug_loss:1.028	 pro_loss:144.478  MI_loss:2.478
Epoch: [00][600/1000]	total_loss:1.516	aug_loss:1.583	 pro_loss:154.233  MI_loss:2.213
Epoch: [00][700/1000]	total_loss:1.024	aug_loss:1.167	 pro_loss:125.790  MI_loss:2.684
Epoch: [00][800/1000]	total_loss:1.127	aug_loss:1.232	 pro_loss:142.735  MI_loss:2.484
Epoch: [00][900/1000]	total_loss:1.102	aug_loss:1.205	 pro_loss:157.168  MI_loss:2.597
epoch = 00,  best_acc1 = 79.458, best_acc1 = 79.458
Epoch: [01][0/1000]	total_loss:1.090	aug_loss:1.227	 pro_loss:131.807  MI_loss:2.692
Epoch: [01][100/1000]	total_loss:1.045	aug_loss:1.187	 pro_loss:130.115  MI_loss:2.722
Epoch: [01][200/1000]	total_loss:1.327	aug_loss:1.426	 pro_loss:159.221  MI_loss:2.580
Epoch: [01][300/1000]	total_loss:0.991	aug_loss:1.116	 pro_loss:131.117  MI_loss:2.566
Epoch: [01][400/1000]	total_loss:0.449	aug_loss:0.547	 pro_loss:144.249  MI_loss:2.420
Epoch: [01][500/1000]	total_loss:0.972	aug_loss:1.082	 pro_loss:146.747  MI_loss:2.567
Epoch: [01][600/1000]	total_loss:0.726	aug_loss:0.834	 pro_loss:143.547  MI_loss:2.511
Epoch: [01][700/1000]	total_loss:0.962	aug_loss:1.071	 pro_loss:138.748  MI_loss:2.479
Epoch: [01][800/1000]	total_loss:0.705	aug_loss:0.843	 pro_loss:130.145  MI_loss:2.682
Epoch: [01][900/1000]	total_loss:0.853	aug_loss:0.994	 pro_loss:143.809  MI_loss:2.845
epoch = 01,  best_acc1 = 80.606, best_acc1 = 80.606
Epoch: [02][0/1000]	total_loss:0.471	aug_loss:0.610	 pro_loss:122.878  MI_loss:2.622
Epoch: [02][100/1000]	total_loss:0.463	aug_loss:0.607	 pro_loss:129.254  MI_loss:2.734
Epoch: [02][200/1000]	total_loss:0.679	aug_loss:0.804	 pro_loss:145.306  MI_loss:2.704
Epoch: [02][300/1000]	total_loss:0.171	aug_loss:0.292	 pro_loss:138.806  MI_loss:2.601
Epoch: [02][400/1000]	total_loss:0.737	aug_loss:0.856	 pro_loss:144.037  MI_loss:2.633
Epoch: [02][500/1000]	total_loss:0.670	aug_loss:0.786	 pro_loss:132.836  MI_loss:2.488
Epoch: [02][600/1000]	total_loss:0.332	aug_loss:0.464	 pro_loss:128.126  MI_loss:2.602
Epoch: [02][700/1000]	total_loss:0.519	aug_loss:0.639	 pro_loss:129.708  MI_loss:2.500
Epoch: [02][800/1000]	total_loss:0.540	aug_loss:0.660	 pro_loss:146.500  MI_loss:2.666
Epoch: [02][900/1000]	total_loss:0.742	aug_loss:0.889	 pro_loss:132.933  MI_loss:2.797
epoch = 02,  best_acc1 = 81.593, best_acc1 = 81.593
Epoch: [03][0/1000]	total_loss:0.627	aug_loss:0.770	 pro_loss:127.171  MI_loss:2.698
Epoch: [03][100/1000]	total_loss:0.276	aug_loss:0.401	 pro_loss:137.587  MI_loss:2.627
Epoch: [03][200/1000]	total_loss:0.576	aug_loss:0.697	 pro_loss:137.306  MI_loss:2.583
Epoch: [03][300/1000]	total_loss:0.702	aug_loss:0.831	 pro_loss:136.743  MI_loss:2.658
Epoch: [03][400/1000]	total_loss:0.303	aug_loss:0.458	 pro_loss:134.176  MI_loss:2.887
Epoch: [03][500/1000]	total_loss:0.318	aug_loss:0.451	 pro_loss:143.235  MI_loss:2.764
Epoch: [03][600/1000]	total_loss:0.316	aug_loss:0.450	 pro_loss:130.552  MI_loss:2.642
Epoch: [03][700/1000]	total_loss:0.754	aug_loss:0.891	 pro_loss:136.659  MI_loss:2.733
Epoch: [03][800/1000]	total_loss:0.568	aug_loss:0.681	 pro_loss:135.824  MI_loss:2.492
Epoch: [03][900/1000]	total_loss:0.398	aug_loss:0.507	 pro_loss:148.220  MI_loss:2.569
epoch = 03,  best_acc1 = 81.845, best_acc1 = 81.845
Epoch: [04][0/1000]	total_loss:0.581	aug_loss:0.704	 pro_loss:140.706  MI_loss:2.645
Epoch: [04][100/1000]	total_loss:0.378	aug_loss:0.530	 pro_loss:128.303  MI_loss:2.797
Epoch: [04][200/1000]	total_loss:0.143	aug_loss:0.278	 pro_loss:132.911  MI_loss:2.676
Epoch: [04][300/1000]	total_loss:0.554	aug_loss:0.684	 pro_loss:139.123  MI_loss:2.689
Epoch: [04][400/1000]	total_loss:0.727	aug_loss:0.863	 pro_loss:135.596  MI_loss:2.717
Epoch: [04][500/1000]	total_loss:0.417	aug_loss:0.554	 pro_loss:124.930  MI_loss:2.625
Epoch: [04][600/1000]	total_loss:0.341	aug_loss:0.472	 pro_loss:130.143  MI_loss:2.620
Epoch: [04][700/1000]	total_loss:0.267	aug_loss:0.435	 pro_loss:125.009  MI_loss:2.921
Epoch: [04][800/1000]	total_loss:0.021	aug_loss:0.129	 pro_loss:135.833  MI_loss:2.440
Epoch: [04][900/1000]	total_loss:0.268	aug_loss:0.408	 pro_loss:132.973  MI_loss:2.730
epoch = 04,  best_acc1 = 81.708, best_acc1 = 81.845
Epoch: [05][0/1000]	total_loss:0.162	aug_loss:0.291	 pro_loss:130.552  MI_loss:2.591
Epoch: [05][100/1000]	total_loss:0.475	aug_loss:0.620	 pro_loss:136.762  MI_loss:2.812
Epoch: [05][200/1000]	total_loss:0.183	aug_loss:0.335	 pro_loss:119.360  MI_loss:2.714
Epoch: [05][300/1000]	total_loss:0.270	aug_loss:0.387	 pro_loss:132.620  MI_loss:2.496
Epoch: [05][400/1000]	total_loss:0.152	aug_loss:0.292	 pro_loss:127.636  MI_loss:2.682
Epoch: [05][500/1000]	total_loss:0.176	aug_loss:0.334	 pro_loss:121.221  MI_loss:2.798
Epoch: [05][600/1000]	total_loss:0.291	aug_loss:0.462	 pro_loss:118.157  MI_loss:2.898
Epoch: [05][700/1000]	total_loss:0.046	aug_loss:0.194	 pro_loss:125.133  MI_loss:2.731
